2024-02-17 23:54:31,948 - Starting new HTTPS connection (1): statistik.bra.se:443
2024-02-17 23:54:32,232 - https://statistik.bra.se:443 "GET /solwebb/action/start?menykatalogid=1 HTTP/1.1" 200 None
2024-02-17 23:54:32,333 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/urval?menyid=37 HTTP/1.1" 200 None
2024-02-17 23:54:32,390 - Executing request 1/1230 for topic 37
2024-02-17 23:54:32,428 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/urval/vantapopup HTTP/1.1" 200 1084
2024-02-17 23:54:34,305 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/sok HTTP/1.1" 200 700
2024-02-17 23:54:36,844 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/resultat/dbfil HTTP/1.1" 200 None
2024-02-17 23:54:37,231 - Saving response for request 7677
2024-02-17 23:54:37,231 - Response content: Region;Brott;År;Period;Antal;/100 000 inv
Borlänge kommun;5 kap. Ärekränkningsbrott;2010;Mar;3;6;
Borlänge kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;10;20;
Borlänge kommun;5 kap. Ärekränkningsbrott;2012;Maj;3;6;
Borlänge kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;11;22;
Falun kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Falun kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Falun kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Falun kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Falun kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Falun kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Falun kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Falun kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Falun kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Falun kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Falun kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Falun kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Falun kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Falun kommun;5 kap. Ärekränkningsbrott;1996;Apr;2;4;
Falun kommun;5 kap. Ärekränkningsbrott;1996;Maj;2;4;
Falun kommun;5 kap. Ärekränkningsbrott;2000;Sep;1;2;
Falun kommun;5 kap. Ärekränkningsbrott;2005;Jun;1;2;
Falun kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;11;20;
Falun kommun;5 kap. Ärekränkningsbrott;2006;Apr;1;2;
Falun kommun;5 kap. Ärekränkningsbrott;2008;Apr;2;4;
Falun kommun;5 kap. Ärekränkningsbrott;2010;Mar;4;7;
Falun kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;13;23;
Falun kommun;5 kap. Ärekränkningsbrott;2012;Maj;5;9;
Falun kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;8;14;
Gagnef kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Gagnef kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Gagnef kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Gagnef kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;1996;Apr;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;1996;Maj;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;2000;Sep;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;2005;Jun;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;2006;Apr;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;2008;Apr;..;..;
Gagnef kommun;5 kap. Ärekränkningsbrott;2010;Mar;2;20;
Gagnef kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;1;10;
